voie;insee;commune
Rue du 8 Mai 1945;08487;Vireux-Wallerand
Rue du 11 Novembre 1918;08488;Vivier-au-Court
Rue du 14 Juillet;08491;Vrigne aux Bois
Avenue du 8 Mai;09002;Aigues-Vives
Avenue du 8 Mai 1945;09002;Aigues-Vives
Place du 19 Mars;09019;Artigat
Rue du 19 Mars 1962;09030;Auzat
Place du 11 Novembre;09039;La Bastide-de-Bousignac
Place du 8 Mai;09039;La Bastide-de-Bousignac
Place du 8 Mai 1945;09039;La Bastide-de-Bousignac
Avenue du 19 Mars 1962;09042;La Bastide-de-Sérou
Place du 11 Novembre 1918;09042;La Bastide-de-Sérou
Place du 8 Mai 1945;09042;La Bastide-de-Sérou
Rue du 19 Mars 1962;09042;La Bastide-de-Sérou
Avenue du 11 Novembre 1918;09043;La Bastide-sur-l'Hers
Avenue du 8 Mai 1945;09043;La Bastide-sur-l'Hers
Place du 19 Mars 1962;09061;Les Bordes-sur-Arize
Quai du 19 Mars 1962;09061;Les Bordes-sur-Arize
Rue du 19 Mars 1962;09072;Calzan
Rue du 24 Juin;09119;Eycheil
Place du 8 Mai 1945;09122;Foix
Rue du 19 Mars;09122;Foix
Rue du 19 Mars 1962;09122;Foix
Avenue du 08 Mai 1945;09157;Laroque-d'Olmes
Avenue du 11 Novembre 1918;09157;Laroque-d'Olmes
Rue du 19 Mars 1962;09157;Laroque-d'Olmes
Av du Onze Novembre 1918;09160;Lavelanet
Place du 19 Mars 1962;09160;Lavelanet
Rue du 4 Septembre;09160;Lavelanet
Rue du 8 Mai 1945;09160;Lavelanet
Place du 19 Mars;09167;Lézat-sur-Lèze
Rue du 14 Juillet;09167;Lézat-sur-Lèze
Rue du 4 Septembre;09167;Lézat-sur-Lèze
Rue du 8 Mai;09167;Lézat-sur-Lèze
Place du 14 Juillet;09180;Manses
Place du 11 Novembre;09185;Mazères
Rue du 19 Mars 1962;09185;Mazères
Rue du 8 Mai 1945;09185;Mazères
Impasse du 19 Mars 1962;09188;Mercus-Garrabet
Avenue du 8 Mai 1945;09194;Mirepoix
Rue du 11 Novembre;09194;Mirepoix
Rue du 19 Mars 1962;09194;Mirepoix
Place du 8 Juillet 1944;09206;Montferrier
Rue du 11 Novembre;09225;Pamiers
Rue du 14 Juillet;09225;Pamiers
Rue du 19 Mars 1962;09225;Pamiers
Rue du 1er Mai;09225;Pamiers
Rue du 4 Septembre;09225;Pamiers
Rue du 8 Mai 1945;09225;Pamiers
Rue du Premier Mai;09225;Pamiers
Impasse du 8 Mai 1945;09229;Le Peyrat
Rue du 11 Novembre 1918;09229;Le Peyrat
Rue du 19 Mars 1962;09229;Le Peyrat
Rue du 8 Mai 1945;09229;Le Peyrat
Chemin du 19 Mars 1962;09253;Sabarat
Place 8 Mai 1945;09261;Saint-Girons
Rue du 11 Novembre;09261;Saint-Girons
Rue du 11 Novembre 1918;09261;Saint-Girons
Rue du 14 Juillet;09261;Saint-Girons
Rue du 19 Mars 1962;09261;Saint-Girons
Rue du 14 Juillet;09265;Saint-Jean-du-Falga
Rue du 19 Mars 1962;09265;Saint-Jean-du-Falga
Rue du 1er Mai;09265;Saint-Jean-du-Falga
Rue du 19 Mars 1962;09272;Saint-Paul-de-Jarrat
Place du 19 Mars 1962;09275;Saint-Quirc
Rue du 19 Mars 1962;09282;Saverdun
Rue du 8 Mai 1945;09303;Surba
Place du 19 Mars 1962;09306;Tarascon-sur-Ariège
Rue du 8 Mai;09306;Tarascon-sur-Ariège
Rue du 11 Novembre;09312;La Tour-du-Crieu
Rue du 19 Mars 1962;09312;La Tour-du-Crieu
Rue du 8 Mai;09312;La Tour-du-Crieu
